-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,5,81,87,87,6,7,83,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,101,17,50,22,24,119,17,121,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,117,18,119,54,56,19,119,121,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,117,17,33,33,35,35,17,121,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,117,119,35,22,24,119,119,121,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,119,17,119,54,56,119,17,119,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,119,119,119,119,119,33,18,119,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,170,171,33,33,35,35,172,173,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,186,187,35,22,24,119,188,189,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,78,76,75,78,77,76,78,119,17,119,54,56,119,17,119,78,75,78,78,78,-1,-1,-1,-1
-1,24,119,18,119,18,119,119,119,119,119,119,119,33,18,119,119,119,119,119,22,-1,-1,-1,-1
-1,54,33,34,35,-1,-1,-1,-1,-1,173,171,-1,-1,-1,-1,-1,-1,-1,170,172,-1,-1,-1,-1
-1,119,119,50,119,-1,-1,-1,-1,-1,189,187,-1,-1,-1,-1,-1,-1,-1,186,187,-1,-1,-1,-1
-1,119,119,56,119,-1,-1,-1,-1,-1,119,119,-1,-1,-1,-1,-1,-1,-1,51,119,-1,-1,-1,-1
-1,-1,-1,119,119,-1,-1,-1,-1,-1,119,119,-1,-1,-1,-1,-1,-1,-1,119,51,-1,-1,-1,-1
-1,-1,-1,170,171,-1,-1,-1,-1,-1,119,119,-1,-1,-1,-1,-1,-1,-1,51,119,-1,-1,-1,-1
-1,-1,-1,186,187,-1,-1,-1,-1,-1,119,119,-1,-1,-1,-1,-1,-1,-1,119,51,-1,-1,-1,-1
78,75,78,119,119,-1,-1,-1,76,157,119,119,78,76,-1,-1,-1,-1,-1,51,119,-1,-1,-1,-1
119,119,119,119,119,-1,-1,-1,119,22,23,55,24,119,-1,-1,-1,-1,-1,119,51,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,119,38,39,39,40,119,78,76,155,78,76,119,119,78,78,78,77
-1,-1,-1,-1,-1,-1,-1,-1,17,54,55,23,56,119,119,119,119,119,119,119,119,119,119,119,119
-1,-1,-1,-1,-1,-1,-1,-1,119,119,119,119,119,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
